profile,description,config_file,ring_radii,ring_volts
early_rise_asym,"asymmetric S-curve, rises quickly near the inner radius then levels off (flip of early_drop_asym)",input_polar_early_rise_asym.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.2575, 0.4667, 0.6326, 0.7602, 0.8546, 0.9207, 0.9637, 0.9884, 1.0]"
late_drop_asym,"asymmetric S-curve, stays high until near the edge",input_polar_late_drop_asym.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.9575, 0.8968, 0.8185, 0.7229, 0.6104, 0.4815, 0.3365, 0.1759, 0.0]"
late_rise_asym,"asymmetric S-curve, stays low until near the edge then rises (flip of late_drop_asym)",input_polar_late_rise_asym.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.0425, 0.1032, 0.1815, 0.2771, 0.3896, 0.5185, 0.6635, 0.8241, 1.0]"
symmetric_bump_quad,"single bump peaked at mid-radius, zero at both ends",input_polar_symmetric_bump_quad.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.3951, 0.6914, 0.8889, 0.9877, 0.9877, 0.8889, 0.6914, 0.3951, 0.0]"
hollow_center,"dip at mid-radius, maxed out at both inner and outer edges (flip of symmetric_bump_quad)",input_polar_hollow_center.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.6049, 0.3086, 0.1111, 0.0123, 0.0123, 0.1111, 0.3086, 0.6049, 1.0]"
symmetric_bump_narrow,narrower / more peaked bump at mid-radius,input_polar_symmetric_bump_narrow.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.1561, 0.478, 0.7901, 0.9755, 0.9755, 0.7901, 0.478, 0.1561, 0.0]"
hollow_center_narrow,"narrower/deeper dip at mid-radius, maxed out at both edges (flip of symmetric_bump_narrow)",input_polar_hollow_center_narrow.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.8439, 0.522, 0.2099, 0.0245, 0.0245, 0.2099, 0.522, 0.8439, 1.0]"
offcenter_bump_inner,bump peaked toward the inner radius,input_polar_offcenter_bump_inner.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.5926, 0.9074, 1.0, 0.9259, 0.7407, 0.5, 0.2593, 0.0741, 0.0]"
notch_inner,"dip toward the inner radius, high at both edges (flip of offcenter_bump_inner)",input_polar_notch_inner.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.4074, 0.0926, 0.0, 0.0741, 0.2593, 0.5, 0.7407, 0.9259, 1.0]"
offcenter_bump_outer,bump peaked toward the outer radius,input_polar_offcenter_bump_outer.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.0741, 0.2593, 0.5, 0.7407, 0.9259, 1.0, 0.9074, 0.5926, 0.0]"
notch_outer,"dip toward the outer radius, high at both edges (flip of offcenter_bump_outer)",input_polar_notch_outer.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.9259, 0.7407, 0.5, 0.2593, 0.0741, 0.0, 0.0926, 0.4074, 1.0]"
double_bump_symmetric,two bumps with a dip at mid-radius and at both ends,input_polar_double_bump_symmetric.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.956, 0.8535, 0.3951, 0.0488, 0.0488, 0.3951, 0.8535, 0.956, 0.0]"
chebyshev_wiggle,"oscillating wiggle, alternating high/low across radius (flip of double_bump_symmetric)",input_polar_chebyshev_wiggle.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.044, 0.1465, 0.6049, 0.9512, 0.9512, 0.6049, 0.1465, 0.044, 1.0]"
very_steep_transition,"near step-function drop, very sharp transition mid-radius",input_polar_very_steep_transition.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 1.0, 0.996, 0.9342, 0.6883, 0.3117, 0.0658, 0.004, 0.0, 0.0]"
very_steep_transition_rise,"near step-function rise, very sharp transition mid-radius (flip of very_steep_transition)",input_polar_very_steep_transition_rise.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.0, 0.004, 0.0658, 0.3117, 0.6883, 0.9342, 0.996, 1.0, 1.0]"
